net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
315,170,21,1,0.059224265919470144,0.06291548588793361,6.285963744594784,-0.8344222259898966,0.09253490797142816,0.3560931998234617,47.80887186294011
316,171,5,1,0.02701223639785533,0.056140549871671434,6.304693569992465,-2.155698490143924,0.04710835985866895,0.15438850237989699,123.51242538862611
319,172,7,1,0.0330260138705831,0.05700254138394202,6.223550715134496,-1.5927079794612422,0.049789194012684765,0.17360261319442474,91.25544522489027
321,173,7,1,0.05062265721403295,0.03457856552348461,6.384395617045779,-2.1915995100012013,0.08576355411274264,0.19919680296361275,125.56940231913315
323,174,4,2,3.7554304965315692,0.5283679827071448,8.88229125865923,1.7754214787644436,5.6250444969473445,11.357043934895122,-101.7079543669101
324,175,19,1,0.05144498159113375,0.055306707478462294,6.15810261604093,-1.4921653419952228,0.08091156103843905,0.2606247849513113,85.4947763993891
325,176,17,1,0.06796053789817053,0.0848124955524086,6.255256392042887,0.41840112716101147,0.1144993885478306,0.35930611238000215,-23.972618820268636
327,177,1,1,0.04177096153079072,0.060999009922564205,6.21027896910391,1.7758891516630553,0.06653781275534197,0.23935295950894028,-101.75095328528492
328,178,16,2,3.7666408132964513,0.5367461824488671,9.53604912314635,2.197695600511602,5.641786939001447,11.402899250900923,-125.90233337348073
329,179,15,1,0.06437427005607821,0.055962812808752725,6.252339928254741,-0.14976543017171534,0.09450220860740159,0.35024133870377305,8.580927086554599
330,180,5,1,0.05942222549513694,0.050222985610965505,6.264246163471518,1.1645263679783484,0.09614744248255945,0.30273070922621437,-66.72244596607779
331,181,1,1,0.04359908499600052,0.058250043164048484,6.359032744818946,-2.9884361324433284,0.06732161656041533,0.24316279721872208,171.22477772551088
332,182,9,1,0.04478981395059016,0.05527006240244314,6.324487765491259,2.2188633014378363,0.07483972042290558,0.19167212353972476,-127.1315024990735
333,183,19,1,0.06690260130727083,0.08360131308587869,6.30089845771769,-1.3278021849504795,0.10961288695084828,0.47223778319893106,76.07746119737972
334,184,15,1,0.05187824847247534,0.058432752830675116,6.303677525563594,1.8746201249507357,0.08679357093549965,0.2867337676149035,-107.4078213842313
335,185,1,1,0.07135592318831475,0.07651302872569336,6.220018267829539,-0.6384715258086333,0.11211592951423338,0.325467451497746,36.581723848176345
338,186,13,1,0.07187433053002681,0.0742608191342302,6.090314816580192,0.3820931299064695,0.11573338738867582,0.34337434885004336,-21.892323795344574
339,187,13,1,0.0615778219524713,0.05479531678782497,6.084246231650893,-1.4278599988235356,0.0984951923161982,0.28911041865500026,81.81035161126852
342,188,7,1,0.05041754272825831,0.08177923826196291,6.330956423216302,1.2414298534731807,0.08312746463703931,0.2782367745587563,-71.1286911443385
343,189,21,1,0.051067735352632045,0.05308981566383271,6.104727524858765,-2.984681805834664,0.08238946692216079,0.3115299506790877,171.0096706309677
347,190,9,1,0.054462684464580205,0.0743236467629208,6.340278392933047,2.7458903847075,0.09472691760614331,0.3255557617733401,-157.32793001576482
348,191,19,1,0.0812806234365373,0.08090606391020236,6.307090822903598,-1.8733959240083429,0.13554173145307147,0.4885522220511957,107.33767995750101
349,192,13,1,0.053951714109591604,0.05152538901295214,6.275911577612822,-2.8238160623613746,0.08849212428500532,0.2580485179325425,161.79274245458683
350,193,13,1,0.032450688827229006,0.04570954436788463,6.445410037198888,-1.6761960606274713,0.04712326494124699,0.19385232985254308,96.03895991248405
351,194,1,1,0.08242880552672453,0.06872299420629041,6.312727204557598,-2.4799764548885537,0.12708218250432599,0.43435116280239305,142.09218406045323
353,195,10,2,3.757582463724633,0.5249112608143156,9.091784471708703,-2.5824829511895726,5.628258550676893,11.381778688376162,147.98160494505694
